date, pm25, pm10, o3, no2, so2, co
2015/11/22, , 32, 19, 10, 7, 7
2015/11/23, , 35, 22, 10, 7, 7
2015/11/24, , 36, 20, 9, 7, 7
2015/11/25, , 40, 26, 8, 7, 6
2015/11/26, , 35, 22, 9, 6, 9
2015/11/27, , 20, , , , 
2015/11/30, , 41, 30, 15, 8, 8
2015/12/1, , 44, 30, 13, 8, 8
2015/12/2, , 50, 35, 13, 7, 7
2015/12/3, , 40, 26, 9, 7, 6
2015/12/4, , 37, 30, 11, 7, 7
2015/12/5, , 45, 16, 1, 7, 6
2015/12/6, , 25, , , , 
2015/12/8, , 36, 22, 16, 8, 10
2015/12/9, , 55, 49, 24, 8, 11
2015/12/10, , 51, 44, 33, 8, 11
2015/12/11, , 57, 48, 29, 9, 10
2015/12/12, , 60, 44, 29, 9, 10
2015/12/13, , 62, 51, 38, 8, 14
2015/12/14, , 74, 37, 21, 8, 10
2015/12/15, , 65, 30, 10, 7, 9
2015/12/16, , 43, 29, 12, 7, 9
2015/12/17, , 34, 34, 18, 7, 9
2015/12/18, , 47, 34, 19, 7, 8
2015/12/19, , 40, 33, 26, 7, 9
2015/12/20, , 52, 32, 21, 7, 9
2015/12/21, , 55, 29, 23, 7, 10
2015/12/22, , 52, 28, 22, 8, 11
2015/12/23, , 53, 34, 18, 8, 11
2015/12/24, , 51, 36, 22, 9, 9
2015/12/25, , 56, 28, 12, 8, 8
2015/12/26, , 46, 30, 14, 7, 8
2015/12/27, , 49, 30, 14, 7, 10
2015/12/28, , 44, 34, 18, 7, 11
2015/12/29, , 40, 31, 15, 7, 9
2015/12/30, , 40, , , , 
2016/1/3, , 53, , , , 
2015/7/1, , 33, , 12, 29, 3
2015/7/2, , 44, , 15, 29, 3
2015/7/3, , 33, , 15, 29, 3
2015/7/4, , 40, , 9, 29, 2
2015/7/5, , 28, , 11, 29, 4
2015/7/6, , 37, , 14, 29, 4
2015/7/7, , 44, , 11, 29, 3
2015/7/8, , 46, , 10, 29, 4
2015/7/9, , 50, , 15, 29, 4
2015/7/10, , 46, , 2, 33, 3
2015/7/11, , 44, , 4, 31, 3
2015/7/12, , 30, , 6, 29, 4
2015/7/13, , 31, , , 50, 3
2015/7/14, , 16, , , , 
2015/7/17, , 21, , , 45, 2
2015/7/18, , 15, , , , 
2015/7/20, , 16, 28, 9, 15, 3
2015/7/21, , 17, 36, 16, 10, 3
2015/7/22, , 25, 18, 17, 17, 2
2015/7/23, , 27, 16, 21, 17, 3
2015/7/24, , 35, 17, 14, 23, 2
2015/7/25, , 31, 12, 6, 1, 1
2015/7/26, , 24, 13, 11, 24, 2
2015/7/27, , 25, 14, 9, 34, 1
2015/7/28, , 24, 8, 8, 66, 2
2015/7/29, , 16, , , , 
2015/8/13, , 22, 20, 12, 34, 3
2015/8/14, , 24, 16, 13, 16, 3
2015/8/15, , 27, 20, 9, 34, 2
2015/8/16, , 22, 14, 13, 5, 3
2015/8/17, , 30, 14, 14, 67, 3
2015/8/18, , 22, 14, 16, 10, 3
2015/8/19, , 30, 22, 16, 12, 3
2015/8/20, , 31, 19, 13, 1, 2
2015/8/21, , 25, 18, 13, , 3
2015/8/22, , 20, 14, 15, 1, 3
2015/8/23, , 23, 14, 16, 2, 3
2015/8/24, , 25, 34, 13, 11, 5
2015/8/25, , 26, 14, 16, 22, 4
2015/8/26, , 30, 11, 18, 1, 4
2015/8/27, , 35, 5, 8, 1, 3
2015/8/28, , 16, 17, 14, 1, 3
2015/8/29, , 22, 17, 14, 1, 3
2015/8/30, , 26, 12, 13, 1, 3
2015/8/31, , 23, 20, 14, , 3
2015/9/1, , 25, 25, 15, , 3
2015/9/2, , 26, 22, 13, , 3
2015/9/3, , 25, 8, 12, , 4
2015/9/4, , 24, 19, 13, , 4
2015/9/5, , 34, 17, 16, 1, 3
2015/9/6, , 23, 16, 17, 1, 4
2015/9/7, , 26, 14, 17, 1, 4
2015/9/8, , 26, 23, 16, 1, 4
2015/9/9, , 28, 13, 10, 2, 3
2015/9/10, , 22, , , , 
2015/9/12, , 25, 7, 16, 1, 6
2015/9/13, , 26, 24, 22, 1, 7
2015/9/14, , 35, 10, 18, 2, 6
2015/9/15, , 22, 16, 15, 1, 6
2015/9/16, , 21, 16, 9, 1, 4
2015/9/17, , 15, 14, 6, 1, 3
2015/9/18, , 14, 21, 16, 1, 6
2015/9/19, , 31, 24, 21, 1, 7
2015/9/20, , 43, 17, 14, 13, 6
2015/9/21, , 42, 17, 2, 7, 5
2015/9/22, , 31, 16, 1, 7, 5
2015/9/23, , 28, 19, 1, 7, 4
2015/9/24, , 22, 17, 1, 7, 4
2015/9/25, , 23, 15, , 7, 3
2015/9/26, , 14, 29, 1, 7, 4
2015/9/27, , 26, 25, 2, 7, 5
2015/9/28, , 30, 26, 2, 7, 5
2015/9/29, , 34, 23, 1, 7, 6
2015/9/30, , 36, 19, 1, 7, 6
2015/4/1, , 51, 6, 2, 1, 8
2015/4/2, , 50, 7, 8, 1, 6
2015/4/3, , 43, 18, 6, 2, 7
2015/4/4, , 53, 12, 1, 61, 134
2015/4/5, , 49, 24, 1, 40, 132
2015/4/6, , 44, 16, 1, 59, 178
2015/4/7, , 53, 2, , 90, 241
2015/4/8, , 58, , , 80, 232
2015/4/9, , 56, , 1, , 
2015/4/10, , 52, , , , 
2015/4/12, , 39, , , , 
2015/4/16, , 73, , , , 
2015/4/17, , 61, , , , 
2015/4/29, , 50, 16, 33, , 7
2015/4/30, , 41, 18, 14, , 4
2015/5/1, , 35, , , , 
2015/5/6, , 32, , , , 
2015/5/9, , 26, 46, 14, , 4
2015/5/10, , 31, 41, 16, , 4
2015/5/11, , 31, 19, 10, , 3
2015/5/12, , 31, 29, 10, , 3
2015/5/13, , 20, 19, 16, , 4
2015/5/14, , 31, 6, 15, , 4
2015/5/15, , 26, , , , 
2015/5/17, , 19, 31, 15, , 4
2015/5/18, , 21, 38, 14, , 4
2015/5/19, , 21, 38, 17, , 4
2015/5/20, , 25, 26, 11, , 5
2015/5/21, , 24, 10, 4, , 7
2015/5/22, , 9, , , , 
2015/5/24, , 37, 35, 10, 3, 
2015/5/25, , 25, 28, 12, 6, 
2015/5/26, , 30, 17, 10, 7, 
2015/5/27, , 22, , , , 
2015/6/1, , 29, 12, 14, 6, 
2015/6/2, , 25, 11, 15, 5, 
2015/6/3, , 28, 12, 16, 9, 
2015/6/4, , 24, 5, 19, 6, 
2015/6/5, , 24, , , , 
2015/6/7, , 29, 6, 15, 5, 
2015/6/8, , 22, 8, 16, 5, 
2015/6/9, , 19, 7, 17, 5, 
2015/6/10, , 26, 11, 16, 7, 
2015/6/11, , 23, 1, 20, , 
2015/6/12, , 31, , , , 
2015/6/14, , 31, 6, 16, 16, 
2015/6/15, , 25, 4, 11, 13, 53
2015/6/16, , 19, 3, 9, 7, 41
2015/6/17, , 17, 1, 13, 16, 39
2015/6/18, , 19, , 18, 8, 39
2015/6/19, , 20, , 21, 9, 38
2015/6/20, , 26, , 18, 16, 38
2015/6/21, , 25, , 16, 20, 27
2015/6/22, , 34, , 9, 17, 3
2015/6/23, , 31, , 11, 27, 2
2015/6/24, , 25, , 8, 17, 2
2015/6/25, , 24, , 2, 8, 2
2015/6/26, , 25, , 2, 6, 2
2015/6/27, , 20, , 5, 8, 3
2015/6/28, , 21, , 13, 58, 3
2015/6/29, , 21, , 11, 28, 3
2015/6/30, , 25, , 13, 26, 3
2014/10/1, , 30, 18, 6, , 
2014/10/2, , 29, 18, 12, 1, 
2014/10/3, , 27, 29, 14, 1, 
2014/10/4, , 36, 8, 7, 2, 
2014/10/5, , 39, 20, 9, , 
2014/10/6, , 39, 32, 14, , 
2014/10/7, , 47, 35, 10, 1, 
2014/10/8, , 57, 36, 6, 1, 
2014/10/9, , 50, 18, 16, 1, 
2014/10/10, , 54, 31, 6, 1, 
2014/10/11, , 35, 35, 12, , 
2014/10/12, , 65, 36, 15, 1, 
2014/10/13, , 61, 36, 12, , 
2014/10/14, , 58, 42, 18, , 6
2014/10/15, , 65, 31, 22, , 
2014/10/16, , 74, 33, 15, , 
2014/10/17, , 57, 28, 11, , 5
2014/10/18, , 44, 18, 1, , 4
2014/10/19, , 38, 13, 1, , 3
2014/10/20, , 20, 12, 3, , 5
2014/10/21, , 21, 19, 1, , 5
2014/10/22, , 31, 15, 3, , 3
2014/10/23, , 30, 16, 5, , 3
2014/10/24, , 22, 13, 11, , 4
2014/10/25, , 25, 12, 10, , 4
2014/10/26, , 24, 23, 16, , 6
2014/10/27, , 32, 12, 14, , 6
2014/10/28, , 36, 14, 8, 54, 3
2014/10/29, , 24, 17, 16, , 7
2014/10/30, , 32, 12, 15, , 5
2014/10/31, , 49, 11, 13, 1, 5
2014/11/1, , 30, 15, 12, 1, 4
2014/11/2, , 30, 18, 10, , 5
2014/11/3, , 28, 19, 11, 1, 6
2014/11/4, , 30, 19, 11, 1, 5
2014/11/5, , 34, 27, 12, 1, 7
2014/11/6, , 30, 22, 13, 12, 6
2014/11/7, , 37, 11, 12, 19, 5
2014/11/8, , 28, 14, 10, 1, 4
2014/11/9, , 28, 23, 19, 1, 7
2014/11/10, , 34, 18, 18, 40, 9
2014/11/11, , 49, 10, 16, 1, 8
2014/11/12, , 43, 24, 6, 1, 6
2014/11/13, , 40, 25, 13, 14, 6
2014/11/14, , 29, 19, 9, 1, 7
2014/11/15, , 41, 29, 12, , 6
2014/11/16, , 48, 26, 9, , 5
2014/11/17, , 38, 37, 9, , 6
2014/11/18, , 44, 15, 19, , 10
2014/11/19, , 50, 32, 21, 67, 9
2014/11/20, , 54, 34, 20, 2, 9
2014/11/21, , 58, 29, 21, 1, 10
2014/11/22, , 56, 37, 14, 33, 7
2014/11/23, , 54, 24, 19, 1, 10
2014/11/24, , 60, 35, 20, 1, 9
2014/11/25, , 53, 8, 27, 23, 12
2014/11/26, , 54, 22, 15, 1, 7
2014/11/27, , 56, 2, 12, 1, 7
2014/11/28, , 38, , 16, 67, 7
2014/11/29, , 43, , , , 
2014/12/1, , 55, , 16, , 10
2014/12/2, , 36, , , , 
2014/12/18, , 58, 33, 23, , 5
2014/12/19, , 61, 36, 21, , 4
2014/12/20, , 60, , , , 
2014/4/1, , 46, 12, , , 3
2014/4/2, , 49, 7, 31, , 13
2014/4/3, , 52, 17, 17, , 7
2014/4/4, , 40, 15, 14, , 6
2014/4/5, , 33, 19, 5, 2, 6
2014/4/6, , 30, 20, 9, , 6
2014/4/7, , 40, 5, 39, , 16
2014/4/8, , 53, 8, 34, , 14
2014/4/9, , 52, 24, 7, , 7
2014/4/10, , 70, 22, 13, , 7
2014/4/11, , 65, 4, 29, , 11
2014/4/12, , 59, , , , 
2014/4/16, , 47, 13, 11, , 6
2014/4/17, , 48, , , , 
2014/4/19, , 47, 20, 13, 1, 6
2014/4/20, , 43, 10, 25, 1, 8
2014/4/21, , 52, 21, 19, 2, 7
2014/4/22, , 42, 17, 31, 1, 10
2014/4/23, , 51, 16, 13, 1, 7
2014/4/24, , 48, 11, 14, 1, 7
2014/4/25, , 36, 12, 24, 2, 8
2014/4/26, , 43, 8, 28, 4, 11
2014/4/27, , 48, 21, 22, 1, 8
2014/4/28, , 42, 11, 26, 1, 11
2014/4/29, , 39, 16, 19, 1, 8
2014/4/30, , 33, 14, 16, , 8
2014/5/1, , 39, 15, 7, , 7
2014/5/2, , 34, , , , 
2014/5/6, , 36, , , , 
2014/5/14, , 24, 32, 12, 10, 5
2014/5/15, , 28, 31, 19, 2, 7
2014/5/16, , 31, 32, 15, 10, 6
2014/5/17, , 29, 29, 6, 1, 5
2014/5/18, , 27, 28, 13, 1, 6
2014/5/19, , 28, 22, 24, 9, 7
2014/5/20, , 29, 23, 20, 3, 7
2014/5/21, , 33, 20, 13, 1, 7
2014/5/22, , 33, 27, 14, 15, 5
2014/5/23, , 28, 23, 12, 3, 5
2014/5/24, , 29, 30, 14, 2, 
2014/5/25, , 30, 31, 24, 13, 
2014/5/26, , 38, 38, 15, 1, 
2014/5/27, , 41, 14, 17, 1, 9
2014/5/28, , 32, 23, 9, 54, 4
2014/5/29, , 32, 30, 13, 6, 4
2014/5/30, , 36, 28, 10, 6, 3
2014/5/31, , 34, 23, 7, 23, 3
2014/6/1, , 22, 25, 15, 9, 4
2014/6/2, , 29, 25, 17, 11, 5
2014/6/3, , 30, 23, 12, 17, 4
2014/6/4, , 29, 27, 11, 10, 4
2014/6/5, , 21, 28, 14, 15, 4
2014/6/6, , 22, 17, 14, 8, 3
2014/6/7, , 23, 21, 12, 22, 3
2014/6/8, , 25, 25, 13, 9, 4
2014/6/9, , 24, 22, 21, 9, 4
2014/6/10, , 24, 21, 13, 8, 4
2014/6/11, , 30, 24, 14, 1, 5
2014/6/12, , 27, 25, 11, 1, 4
2014/6/13, , 47, 20, 4, , 3
2014/6/14, , 43, , , , 
2014/6/16, , 22, 26, 10, 10, 4
2014/6/17, , 19, 14, 11, 1, 5
2014/6/18, , 23, 19, 12, 1, 5
2014/6/19, , 36, 22, 19, 15, 6
2014/6/20, , 53, 16, 16, 1, 5
2014/6/21, , 53, 15, 17, 1, 5
2014/6/22, , 54, 14, 13, 15, 5
2014/6/23, , 49, 29, 15, 1, 5
2014/6/24, , 38, 18, 15, 1, 5
2014/6/25, , 30, 24, 8, 1, 4
2014/6/26, , 30, 13, 26, 1, 7
2014/6/27, , 42, 13, 21, 1, 7
2014/6/28, , 48, 15, 17, 1, 5
2014/6/29, , 51, 8, 15, 1, 6
2014/6/30, , 48, 17, 15, 2, 5
2014/7/1, , 46, 24, 18, 1, 5
2014/7/2, , 38, 23, 16, 10, 5
2014/7/3, , 32, 25, 12, 1, 5
2014/7/4, , 29, 19, 12, 1, 4
2014/7/5, , 27, 24, 16, 1, 5
2014/7/6, , 24, , , , 
2014/1/12, , 50, 3, 3, 1, 15
2014/1/13, , 43, 3, 5, 1, 17
2014/1/14, , 46, 1, 35, , 18
2014/1/15, , 57, , , , 11
2014/1/16, , 67, , , , 14
2014/1/17, , 68, , , , 
2014/1/20, , 75, , , , 
2014/1/23, , 86, , 87, 2, 14
2014/1/24, , 87, , 92, 1, 11
2014/1/25, , 89, , , , 
2014/1/27, , 75, , 60, 3, 16
2014/1/28, , 70, , 50, 18, 12
2014/1/29, , 68, , 64, 1, 10
2014/1/30, , 62, , 48, 1, 11
2014/1/31, , 60, , 20, 2, 8
2014/2/1, , 63, , 26, 2, 9
2014/2/2, , 66, , 32, 3, 13
2014/2/3, , 67, 20, 22, 2, 11
2014/2/4, , 74, 42, 3, 1, 8
2014/2/5, , 63, 47, 13, 1, 6
2014/2/6, , 61, 41, 18, 16, 7
2014/2/7, , 62, 32, 17, 1, 5
2014/2/8, , 53, 31, 29, 2, 6
2014/2/9, , 53, 50, 35, 8, 9
2014/2/10, , 59, 28, 21, 1, 9
2014/2/11, , 61, 8, 15, , 11
2014/2/12, , 57, 44, 25, 2, 10
2014/2/13, , 64, 30, 14, 19, 9
2014/2/14, , 60, 11, 28, 1, 12
2014/2/15, , 59, 67, 16, 1, 9
2014/2/16, , 72, 49, 18, 15, 7
2014/2/17, , 64, 39, 20, 2, 9
2014/2/18, , 61, 39, 15, 4, 8
2014/2/19, , 61, 20, 2, 16, 7
2014/2/20, , 50, 30, 19, 13, 11
2014/2/21, , 46, 29, 26, 7, 15
2014/2/22, , 66, 62, 16, 5, 10
2014/2/23, , 74, 45, 20, 6, 12
2014/2/24, , 73, 23, 16, 4, 11
2014/2/25, , 65, 43, 19, 18, 9
2014/2/26, , 67, 58, 8, 4, 7
2014/2/27, , 65, 51, 14, 1, 5
2014/2/28, , 62, 54, 21, 55, 6
2014/3/1, , 61, 42, 25, , 6
2014/3/2, , 60, 50, 29, , 7
2014/3/3, , 60, 47, 30, 14, 8
2014/3/4, , 62, 41, 36, 1, 9
2014/3/5, , 64, 35, 33, 1, 9
2014/3/6, , 63, 48, 23, 28, 7
2014/3/7, , 59, 42, 25, 55, 6
2014/3/8, , 57, 51, 19, , 6
2014/3/9, , 58, 48, 20, 1, 7
2014/3/10, , 65, 46, 26, 55, 8
2014/3/11, , 60, 62, 18, , 7
2014/3/12, , 60, 47, 21, 1, 7
2014/3/13, , 60, 53, 26, 15, 9
2014/3/14, , 65, 37, 23, , 10
2014/3/15, , 72, 22, 13, 1, 10
2014/3/16, , 70, 4, 32, 2, 15
2014/3/17, , 84, , , , 
2014/3/19, , 62, 16, 10, , 7
2014/3/20, , 59, 28, 6, , 6
2014/3/21, , 55, , , , 
2014/3/25, , 59, 12, 29, 7, 14
2014/3/26, , 66, 5, 16, , 13
2014/3/27, , 53, 27, , , 6
2014/3/28, , 61, 20, , , 4
2014/3/29, , 52, 15, 1, , 5
2014/3/30, , 51, 17, 3, , 6
2014/3/31, , 49, 11, , , 3
2019/1/10, , , 14, , , 
2019/1/18, , , 22, , , 
2019/3/24, , , 16, , , 
2018/3/31, , , 17, 16, , 
2017/11/13, , , 12, 17, , 
2017/11/14, , , 12, 16, , 
2017/11/15, , , 10, 12, , 
2016/10/8, , , 4, 7, 4, 
2016/10/19, , , 1, 8, , 
2016/10/27, , , 2, 7, 9, 
2016/11/8, , , 3, 7, 5, 
2016/7/7, , , 17, 11, 5, 5
2016/7/27, , , 21, 21, 2, 
2016/7/28, , , 13, 9, 1, 
2016/7/29, , , 13, 11, 1, 
2016/7/30, , , 13, 13, 1, 
2016/7/31, , , 17, 16, 2, 
2016/8/1, , , 13, 14, 2, 
2016/8/2, , , 14, 16, 1, 
2016/8/3, , , 18, 10, 1, 
2016/8/4, , , 14, 12, 2, 
2016/8/5, , , 18, 17, 1, 
2016/8/6, , , 12, 6, 1, 
2016/8/8, , , 15, 15, 1, 
2016/8/9, , , 12, 14, 1, 
2016/8/10, , , 9, 18, 2, 
2016/8/11, , , 15, 12, 2, 
2016/8/12, , , 13, 13, 2, 
2016/8/13, , , 13, 10, 1, 
2016/8/14, , , 9, 13, 2, 
2016/8/15, , , 11, 14, 2, 
2016/8/16, , , 17, 15, 2, 
2016/8/17, , , 11, 15, 2, 
2016/8/18, , , 11, 14, 6, 7
2016/8/22, , , 10, 16, 9, 6
2016/9/6, , , 2, 11, 1, 
2016/3/31, , , 51, 16, 7, 12
2016/5/25, , , 25, 38, 87, 15
2016/6/8, , , 9, 22, 1, 5
2015/10/3, , , 22, , 6, 5
2015/10/24, , , 30, 1, 7, 6
2015/11/7, , , 17, 4, 7, 5
2015/11/21, , , 20, 7, 7, 5
2015/11/29, , , 28, 16, 7, 9
2015/12/7, , , 32, 14, 7, 8
2016/1/2, , , 43, 30, 8, 13
2015/7/19, , , 17, 1, 25, 2
2015/8/12, , , 15, 12, 66, 3
2015/9/11, , , 16, 16, 1, 5
2015/3/31, , , 2, 3, 1, 11
2015/4/11, , , 4, , , 
2015/4/15, , , , 3, , 
2015/4/28, , , 21, 19, , 5
2015/5/5, , , 14, 13, , 3
2015/5/8, , , 27, 13, , 3
2015/5/16, , , 29, 11, , 3
2015/5/23, , , 29, 16, , 
2015/5/31, , , 8, 20, 5, 
2015/6/6, , , 13, 13, 6, 
2015/6/13, , , 11, 16, 16, 
2014/9/30, , , 16, 14, 1, 
2014/12/16, , , 35, 10, 15, 5
2014/12/17, , , 37, 17, , 4
2014/4/15, , , 8, 23, , 11
2014/4/18, , , 12, 9, 1, 6
2014/5/5, , , 15, 21, , 10
2014/5/13, , , 32, 12, 1, 6
2014/6/15, , , 20, 8, , 4
2014/1/11, , , 3, 3, 1, 
2014/3/18, , , 15, 20, , 8
2014/3/22, , , 13, 7, , 10
2014/3/23, , , 13, 11, , 10
2014/3/24, , , 16, 24, 2, 12
2019/6/25, , , , 7, , 
2015/7/16, , , , 1, 32, 3
2014/11/30, , , , 15, 1, 7
2014/12/15, , , , 2, 14, 1
2014/1/26, , , , 65, 2, 13
2014/1/22, , , , , 4, 26
2014/1/19, , , , , , 17
